City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,verkhnevilyuysk,63.4453,120.3167,15.73,81,23,1.6,RU,1689885398
115,quiindy,-25.9667,-57.2667,23.71,62,42,1.93,PY,1689885398
116,yarrawonga,-36.0167,146.0,3.6,97,22,3.08,AU,1689885399
117,port macquarie,-31.4333,152.9167,4.94,49,0,2.27,AU,1689884868
118,iskateley,67.6803,53.1512,11.54,91,100,6.3,RU,1689885193
119,yellowknife,62.456,-114.3525,27.29,36,100,4.63,CA,1689885304
120,celestun,20.8667,-90.4,29.67,72,37,7.34,MX,1689885399
121,ussuriysk,43.7986,131.9508,19.9,92,88,4.42,RU,1689885399
122,puerto ayora,-0.7393,-90.3518,31.98,91,54,4.47,EC,1689885399
123,dul'durga,50.6761,113.5931,13.55,64,39,1.12,RU,1689885399
124,estevan,49.1334,-102.9842,25.12,38,20,1.03,CA,1689885131
125,san agustin de valle fertil,-30.6335,-67.4682,14.71,39,40,3.26,AR,1689885399
126,posto fiscal rolim de moura,-13.0833,-62.2667,32.9,33,0,0.44,BR,1689885399
127,illizi,26.4833,8.4667,35.89,14,0,4.24,DZ,1689884893
128,montes claros,-16.735,-43.8617,22.88,56,0,4.12,BR,1689885191
129,bushehr,28.9684,50.8385,31.05,48,0,0.0,IR,1689885400
130,polican,40.6122,20.0981,26.02,43,0,1.63,AL,1689885400
131,kalininsk,51.5,44.4758,14.4,78,2,2.73,RU,1689885400
132,yeniseysk,58.4497,92.1703,14.56,69,90,2.45,RU,1689885400
133,margaret river,-33.95,115.0667,14.63,69,40,9.12,AU,1689885400
134,kruisfontein,-34.0033,24.7314,6.05,71,1,2.66,ZA,1689884841
135,sao joao da barra,-21.6403,-41.0511,20.05,72,94,5.03,BR,1689885400
136,uaua,-9.8414,-39.4817,24.34,42,27,9.25,BR,1689885400
137,taunggyi,20.7833,97.0333,18.15,98,100,1.4,MM,1689885401
138,kaa-khem,51.6833,94.7333,19.26,41,100,2.6,RU,1689885036
139,brookings,44.3114,-96.7984,25.06,59,40,5.66,US,1689885401
140,ribeira grande,38.5167,-28.7,22.22,94,20,2.57,PT,1689885401
141,kabo,7.6994,18.629,23.24,89,100,1.35,CF,1689885401
142,prince george,53.9166,-122.753,30.14,35,0,4.63,CA,1689885401
143,tangalle,6.024,80.7911,25.99,85,81,5.61,LK,1689885002
144,teguise,29.0605,-13.564,22.12,69,75,9.26,ES,1689885401
145,whitehorse,60.7161,-135.0538,22.28,44,75,1.54,CA,1689885401
146,nur-sultan,51.1801,71.446,17.97,72,0,3.0,KZ,1689885401
147,murzuq,25.9155,13.9184,31.82,17,0,4.22,LY,1689885402
148,yuzhno-kurilsk,44.0306,145.8556,14.23,93,16,2.86,RU,1689885173
149,marsh harbour,26.5412,-77.0636,30.23,69,100,5.8,BS,1689885402
150,uturoa,-16.7333,-151.4333,24.56,64,12,7.93,PF,1689885167
151,west island,-12.1568,96.8225,24.99,73,40,5.66,CC,1689885402
152,zaragoza,41.6561,-0.8773,25.45,43,0,10.8,ES,1689885228
153,vilyuchinsk,52.9306,158.4028,12.15,95,100,0.72,RU,1689885402
154,mount pearl,47.5166,-52.7813,27.19,61,40,7.2,CA,1689885290
155,flin flon,54.7682,-101.865,27.91,36,75,2.06,CA,1689885147
156,copiapo,-27.3667,-70.3333,16.83,31,90,2.28,CL,1689885102
157,hammerfest,70.6634,23.6821,8.25,100,75,5.14,NO,1689884955
158,miquelon,47.0975,-56.3814,18.0,100,100,5.84,PM,1689885402
159,nagqu,31.5,92.0,1.66,70,0,1.6,CN,1689884907
